protocol,chain,date,tvl_usd
aave,__all__,2024-07-17,13178484994
aave,__all__,2024-07-18,13157301629
aave,__all__,2024-07-19,13138444988
aave,__all__,2024-07-20,13494210466
aave,__all__,2024-07-21,13599537875
aave,__all__,2024-07-22,13678709201
aave,__all__,2024-07-23,13433807142
aave,__all__,2024-07-24,13423992265
aave,__all__,2024-07-25,13023736157
aave,__all__,2024-07-26,12574856194
aave,__all__,2024-07-27,12988223460
aave,__all__,2024-07-28,12992143013
aave,__all__,2024-07-29,12954314181
aave,__all__,2024-07-30,13321013829
aave,__all__,2024-07-31,13150554156
aave,__all__,2024-08-01,12964180586
aave,__all__,2024-08-02,12766090761
aave,__all__,2024-08-03,12181344769
aave,__all__,2024-08-04,11766597704
aave,__all__,2024-08-05,11283998240
aave,__all__,2024-08-06,10556813782
aave,__all__,2024-08-07,10866630226
aave,__all__,2024-08-08,10488619645
aave,__all__,2024-08-09,11471827283
aave,__all__,2024-08-10,11501625487
aave,__all__,2024-08-11,11526999480
aave,__all__,2024-08-12,11310148689
aave,__all__,2024-08-13,11721760495
aave,__all__,2024-08-14,11919165848
aave,__all__,2024-08-15,11560788778
aave,__all__,2024-08-16,11287786843
aave,__all__,2024-08-17,11554992147
aave,__all__,2024-08-18,11502729005
aave,__all__,2024-08-19,11646415003
aave,__all__,2024-08-20,11538100085
aave,__all__,2024-08-21,11503056455
aave,__all__,2024-08-22,11865510562
aave,__all__,2024-08-23,11788231704
aave,__all__,2024-08-24,12385832733
aave,__all__,2024-08-25,12295032104
aave,__all__,2024-08-26,12387445943
aave,__all__,2024-08-27,12032089712
aave,__all__,2024-08-28,11225676422
aave,__all__,2024-08-29,11352469644
aave,__all__,2024-08-30,11370809967
aave,__all__,2024-08-31,11391330488
aave,__all__,2024-09-01,11367693759
aave,__all__,2024-09-02,11080527929
aave,__all__,2024-09-03,11521113448
aave,__all__,2024-09-04,11228421380
aave,__all__,2024-09-05,11257671950
aave,__all__,2024-09-06,10914812378
aave,__all__,2024-09-07,10412547065
aave,__all__,2024-09-08,10526351452
aave,__all__,2024-09-09,10613160863
aave,__all__,2024-09-10,11068647586
aave,__all__,2024-09-11,11137144994
aave,__all__,2024-09-12,11077988251
aave,__all__,2024-09-13,11129949784
aave,__all__,2024-09-14,11626183120
aave,__all__,2024-09-15,11576969668
aave,__all__,2024-09-16,11287544719
aave,__all__,2024-09-17,11114433241
aave,__all__,2024-09-18,11387303971
aave,__all__,2024-09-19,11365897944
aave,__all__,2024-09-20,11818200606
aave,__all__,2024-09-21,12131437365
aave,__all__,2024-09-22,12143178818
aave,__all__,2024-09-23,12093632672
aave,__all__,2024-09-24,12542043182
aave,__all__,2024-09-25,12665540092
aave,__all__,2024-09-26,12474006292
aave,__all__,2024-09-27,12807840289
aave,__all__,2024-09-28,13045563732
aave,__all__,2024-09-29,12953369000
aave,__all__,2024-09-30,12900101699
aave,__all__,2024-10-01,12575037576
aave,__all__,2024-10-02,11986386979
aave,__all__,2024-10-03,11772084186
aave,__all__,2024-10-04,11701128708
aave,__all__,2024-10-05,12053460677
aave,__all__,2024-10-06,11902690155
aave,__all__,2024-10-07,11996359143
aave,__all__,2024-10-08,11906602886
aave,__all__,2024-10-09,11836575739
aave,__all__,2024-10-10,11664816952
aave,__all__,2024-10-11,11655600473
aave,__all__,2024-10-12,11997538429
aave,__all__,2024-10-13,12299374184
aave,__all__,2024-10-14,12256446654
aave,__all__,2024-10-15,12954472117
aave,__all__,2024-10-16,12879607998
aave,__all__,2024-10-17,12927823012
aave,__all__,2024-10-18,13002154372
aave,__all__,2024-10-19,13127501448
aave,__all__,2024-10-20,13191867284
aave,__all__,2024-10-21,13562189938
aave,__all__,2024-10-22,13393297863
aave,__all__,2024-10-23,13326122615
aave,__all__,2024-10-24,12878324490
aave,__all__,2024-10-25,13088944497
aave,__all__,2024-10-26,12810228801
aave,__all__,2024-10-27,13026227818
aave,__all__,2024-10-28,13184195490
aave,__all__,2024-10-29,13430691017
aave,__all__,2024-10-30,13717796816
aave,__all__,2024-10-31,13944469683
aave,__all__,2024-11-01,13348867386
aave,__all__,2024-11-02,13374147379
aave,__all__,2024-11-03,13316407755
aave,__all__,2024-11-04,13363873016
aave,__all__,2024-11-05,13066000973
aave,__all__,2024-11-06,13311083141
aave,__all__,2024-11-07,14678850379
aave,__all__,2024-11-08,15168646508
aave,__all__,2024-11-09,15500741099
aave,__all__,2024-11-10,16063463922
aave,__all__,2024-11-11,16573019787
aave,__all__,2024-11-12,17409880088
aave,__all__,2024-11-13,17178564173
aave,__all__,2024-11-14,17145511569
aave,__all__,2024-11-15,16667407214
aave,__all__,2024-11-16,16933658131
aave,__all__,2024-11-17,17159550242
aave,__all__,2024-11-18,16894004635
aave,__all__,2024-11-19,17370860302
aave,__all__,2024-11-20,17177519015
aave,__all__,2024-11-21,17128042735
aave,__all__,2024-11-22,18577767384
aave,__all__,2024-11-23,18617394263
aave,__all__,2024-11-24,19010911552
aave,__all__,2024-11-25,18942693417
aave,__all__,2024-11-26,18700748673
aave,__all__,2024-11-27,18422407373
aave,__all__,2024-11-28,19833597351
aave,__all__,2024-11-29,19556909658
aave,__all__,2024-11-30,19925375614
aave,__all__,2024-12-01,20325855696
aave,__all__,2024-12-02,20453715408
aave,__all__,2024-12-03,20233312895
aave,__all__,2024-12-04,20287878091
aave,__all__,2024-12-05,21165976876
aave,__all__,2024-12-06,20943723915
aave,__all__,2024-12-07,22059006182
aave,__all__,2024-12-08,22193850432
aave,__all__,2024-12-09,22270487875
aave,__all__,2024-12-10,20991189579
aave,__all__,2024-12-11,20779074678
aave,__all__,2024-12-12,21860486733
aave,__all__,2024-12-13,21942008003
aave,__all__,2024-12-14,22325862150
aave,__all__,2024-12-15,22289586506
aave,__all__,2024-12-16,22389618379
aave,__all__,2024-12-17,23178593987
aave,__all__,2024-12-18,22635511318
aave,__all__,2024-12-19,21092275091
aave,__all__,2024-12-20,20287440539
aave,__all__,2024-12-21,20243404921
aave,__all__,2024-12-22,19801125114
aave,__all__,2024-12-23,19579422030
aave,__all__,2024-12-24,20294845142
aave,__all__,2024-12-25,21045739838
aave,__all__,2024-12-26,21020455676
aave,__all__,2024-12-27,20375735207
aave,__all__,2024-12-28,20261713145
aave,__all__,2024-12-29,20715896107
aave,__all__,2024-12-30,20590937499
aave,__all__,2024-12-31,20387190605
aave,__all__,2025-01-01,20408397740
aave,__all__,2025-01-02,20814608338
aave,__all__,2025-01-03,21122671065
aave,__all__,2025-01-04,21522938559
aave,__all__,2025-01-05,21761709210
aave,__all__,2025-01-06,21825698836
aave,__all__,2025-01-07,22114899472
aave,__all__,2025-01-08,20269799759
aave,__all__,2025-01-09,20108906485
aave,__all__,2025-01-10,19736496564
aave,__all__,2025-01-11,20312030225
aave,__all__,2025-01-12,20534545563
aave,__all__,2025-01-13,20688516702
aave,__all__,2025-01-14,20301546524
aave,__all__,2025-01-15,20896596302
aave,__all__,2025-01-16,21912249447
aave,__all__,2025-01-17,21303340323
aave,__all__,2025-01-18,22165200061
aave,__all__,2025-01-19,21512079246
aave,__all__,2025-01-20,21063010429
aave,__all__,2025-01-21,21379948182
aave,__all__,2025-01-22,21688679844
aave,__all__,2025-01-23,21421586764
aave,__all__,2025-01-24,21649367678
aave,__all__,2025-01-25,21871609661
aave,__all__,2025-01-26,22009312420
aave,__all__,2025-01-27,21792060309
aave,__all__,2025-01-28,20971974270
aave,__all__,2025-01-29,20990835529
aave,__all__,2025-01-30,21279668624
aave,__all__,2025-01-31,21918331536
